Part Number,Description,Outside Length,Outside Width,Outside Depth
801044C-01,"CONTAINER, RSC, 66.7 X 61.6 X 43.8 CM",68,63,48
801728A-01,"CONTAINER, RSC, 68.2 X 46 X 60 CM",70,48,63
801561A-01,"CONTAINER, RSC, ID 81.8 X 62.8 X 37.8 CM, UNBRANDED",83,64,39
801169B-01,"CONTAINER, RSC, 98.4 X 58.1 X 38.1 CM",100,60,41
801727A-01,"CONTAINER, RSC, 70 X 52 X 60 CM",70,54,63
801763A-01,"CONTAINER, RSC, ID 78 X 44 X 68.8 CM, UNBRANDED",80,47,72
800720A-02,"CONTAINER, RSC, ID 74.2 X 53.3 X 66 CM, UNBRANDED",76,55,69
801751A-01,"CONTAINER, HSC, ID 85 X 43.3 X 74 CM",87,45,75
801379C-01,"CONTAINER, RSC, 95 X 66 X 47.5 CM, UNBRANDED",97,67,50
800759B-02,"CONTAINER, RSC, 77 X 66 X 63.5 CM",79,68,66
800661C-01,"CONTAINER, RSC, 98.4 X 57.9 X 56.8 CM, UNBRANDED",100,60,60
801874B-01,"CONTAINER, RSC, ID 118.1 X 77.5 X 46 CM, UNBRANDED",120,79,48
800767C-01,"CONTAINER, RSC, 118.1 X 77.5 X 63.5 CM, UNBRANDED  ",120,79,66
